Time(millis);b_voltage;b_current
10000;726.000;512.000
10255;759.000;379.000
10505;758.000;377.000
10755;758.000;383.000
11011;757.000;375.000
11266;756.000;379.000
11522;756.000;378.000
11778;756.000;381.000
12034;755.000;379.000
12290;755.000;378.000
12546;754.000;377.000
12801;754.000;375.000
13057;754.000;381.000
13313;753.000;377.000
13569;753.000;382.000
13825;753.000;383.000
14081;753.000;379.000
14337;753.000;378.000
14592;753.000;383.000
14848;753.000;379.000
15104;753.000;380.000
15360;753.000;376.000
15616;752.000;380.000
15872;752.000;381.000
16126;752.000;381.000
16376;751.000;376.000
16626;752.000;382.000
16876;751.000;379.000
17132;752.000;379.000
17387;751.000;377.000
17637;750.000;381.000
17887;752.000;378.000
18137;750.000;377.000
18392;750.000;377.000
18648;750.000;380.000
18904;750.000;375.000
19160;750.000;377.000
19416;749.000;379.000
19672;750.000;382.000
19928;750.000;377.000
20183;750.000;377.000
20439;750.000;378.000
20695;750.000;378.000
20951;750.000;377.000
21207;749.000;379.000
21463;749.000;380.000
21718;749.000;378.000
21974;749.000;382.000
22230;749.000;376.000
22486;748.000;375.000
22742;748.000;380.000
22998;748.000;379.000
23254;748.000;378.000
23508;748.000;384.000
23758;749.000;378.000
24008;748.000;375.000
24258;748.000;379.000
24513;748.000;384.000
24763;748.000;378.000
25013;748.000;379.000
25263;747.000;377.000
25519;748.000;375.000
25774;748.000;379.000
26030;748.000;383.000
26286;748.000;383.000
26542;748.000;379.000
26798;748.000;381.000
27054;747.000;379.000
27309;747.000;381.000
27565;747.000;379.000
27821;747.000;374.000
28077;747.000;383.000
28333;746.000;379.000
28589;746.000;376.000
28845;746.000;382.000
29100;746.000;378.000
29356;746.000;379.000
29612;746.000;376.000
29868;746.000;381.000
30124;746.000;379.000
30380;746.000;378.000
30635;747.000;378.000
30891;747.000;383.000
31147;746.000;376.000
31403;746.000;378.000
31659;746.000;378.000
31915;746.000;379.000
32169;746.000;377.000
32419;745.000;382.000
32669;746.000;380.000
32919;745.000;381.000
33175;744.000;380.000
33430;745.000;376.000
33680;746.000;374.000
33930;745.000;381.000
34180;744.000;382.000
34436;744.000;380.000
34691;745.000;378.000
34947;753.000;381.000
35203;750.000;379.000
35459;779.000;383.000
35715;788.000;384.000
35971;771.000;380.000
36226;763.000;379.000
36482;764.000;381.000
36738;764.000;382.000
36994;764.000;381.000
37250;764.000;385.000
37506;764.000;380.000
37761;763.000;379.000
38017;762.000;381.000
38273;761.000;381.000
38529;760.000;383.000
38785;763.000;388.000
39041;762.000;380.000
39297;761.000;379.000
39552;761.000;379.000
39808;761.000;382.000
40064;761.000;380.000
40320;765.000;381.000
40576;763.000;380.000
40832;762.000;379.000
41086;760.000;378.000
41336;758.000;382.000
41586;759.000;384.000
41836;759.000;381.000
42092;759.000;379.000
42347;758.000;381.000
42597;757.000;383.000
42847;758.000;379.000
43097;758.000;381.000
43352;758.000;380.000
43608;757.000;378.000
43864;757.000;380.000
44120;756.000;378.000
44376;756.000;387.000
44632;756.000;382.000
44888;756.000;383.000
45143;756.000;381.000
45399;756.000;378.000
45655;757.000;383.000
45911;757.000;382.000
46167;757.000;381.000
46423;757.000;383.000
46678;756.000;384.000
46934;756.000;382.000
47190;756.000;385.000
47446;757.000;381.000
47702;756.000;379.000
47958;756.000;381.000
48214;755.000;385.000
48468;755.000;381.000
48718;756.000;383.000
48968;756.000;383.000
49218;755.000;385.000
49473;754.000;378.000
49723;755.000;381.000
49973;756.000;382.000
50223;757.000;379.000
50479;756.000;380.000
50734;756.000;380.000
50990;756.000;385.000
51246;756.000;377.000
51502;756.000;383.000
51758;756.000;378.000
52014;755.000;384.000
52269;756.000;380.000
52525;756.000;381.000
52781;756.000;380.000
53037;762.000;381.000
53293;760.000;384.000
53549;761.000;384.000
53805;760.000;384.000
54060;760.000;379.000
54316;759.000;383.000
54572;767.000;383.000
54828;764.000;385.000
55084;762.000;386.000
55340;762.000;379.000
55595;764.000;385.000
55851;762.000;384.000
56107;763.000;385.000
56363;762.000;383.000
56619;761.000;381.000
56875;762.000;388.000
57129;762.000;383.000
57379;764.000;388.000
57629;764.000;383.000
57879;763.000;383.000
58135;761.000;384.000
58390;762.000;380.000
58640;765.000;386.000
58890;763.000;386.000
59140;763.000;381.000
59396;764.000;384.000
59651;764.000;383.000
59907;764.000;387.000
60163;765.000;382.000
60419;764.000;383.000
60675;763.000;386.000
60931;762.000;380.000
61186;762.000;383.000
61442;761.000;381.000
61698;761.000;381.000
61954;762.000;382.000
62210;761.000;383.000
